timestamp,disk,prediction,anomalyScore,anomalyLikelihood,sumOfUtilityFitness,sumOfUtilityFitnessPredicted,sumOfscore,sumOfWeaight,Uprev,diffChange
10/22/18 14:32,17.14344594526034,17.14344594526034,1.0,0.8761316188637341,15.01991504892386,15.01991504892386,1.0,0.8761316188637341,15.01991504892386,15.01991504892386
10/22/18 14:32,17.14344594526034,17.14344594526034,1.0,0.9975005019375225,32.12051098425984,32.12051098425984,2.0,1.8736321208012567,17.100595935335974,2.0806808864121145
10/22/18 14:32,17.14344594526034,17.14344594526034,1.0,0.9999999099939227,49.263955386505856,49.263955386505856,3.0,2.8736320307951795,17.14344440224602,0.04284846691004418
10/22/18 14:32,17.14344594526034,17.14344594526034,0.0,0.999,66.39025788582093,66.39025788582093,3.0,3.8726320307951796,17.126302499315077,-0.0171419029309412
10/22/18 14:32,17.14344594526034,17.14344594526034,0.0,0.999,83.516560385136,83.516560385136,3.0,4.87163203079518,17.126302499315077,0.0
10/22/18 14:32,17.14344594526034,17.14344594526034,0.0,0.999,100.64286288445108,100.64286288445108,3.0,5.870632030795179,17.126302499315077,0.0
10/22/18 14:32,17.14344594526034,17.14344594526034,0.0,0.999,117.76916538376615,117.76916538376615,3.0,6.869632030795179,17.126302499315077,0.0
10/22/18 14:33,17.14344594526034,17.14344594526034,0.0,0.999,134.89546788308124,134.89546788308124,3.0,7.868632030795179,17.126302499315077,0.0
10/22/18 14:33,17.14345127992064,17.14344594526034,0.0,0.999,152.02177571172194,152.0217703823963,3.0,8.867632030795178,17.12630782864072,5.32932564212274e-06
10/22/18 14:33,17.14345127992064,17.14344754565843,0.0,0.999,169.14808354036268,169.14807448050908,3.0,9.866632030795179,17.12630782864072,0.0
10/22/18 14:33,17.14345127992064,17.14344866593709,0.0,0.9994918210050984,186.28282287844274,186.28281120593397,3.0,10.866123851800277,17.134739338080067,0.008431509439347451
10/22/18 14:33,17.14345127992064,17.143449450132152,0.0,0.9119788847010423,201.9172884566314,201.91727511539418,3.0,11.77810273650132,15.634465578188681,-1.5002737598913853
10/22/18 14:33,17.14345127992064,17.143449999068697,0.0,0.7190005823248313,214.24343990995172,214.2434256477812,3.0,12.49710331882615,12.326151453320316,-3.3083141248683656
10/22/18 14:33,17.14345127992064,17.14345038332428,0.0,0.7190005823248313,226.56959136327202,226.5695764564482,3.0,13.216103901150982,12.326151453320316,0.0
10/22/18 14:33,17.14346345581656,17.14346345581656,0.0,0.7190005823248313,238.8957515710686,238.89573666424477,3.0,13.935104483475813,12.32616020779657,8.754476255035115e-06
10/22/18 14:33,17.14346345581656,17.14346345581656,0.0,0.7190005823248313,251.22191177886515,251.22189687204133,3.0,14.654105065800644,12.32616020779657,0.0
10/22/18 14:33,17.14346345581656,17.14346345581656,0.0,0.7190005823248313,263.54807198666174,263.5480570798379,3.0,15.373105648125476,12.32616020779657,0.0
10/22/18 14:33,17.14346345581656,17.14346345581656,0.0,0.7190005823248313,275.87423219445833,275.8742172876345,3.0,16.092106230450305,12.32616020779657,0.0
10/22/18 14:33,17.14346879047686,17.143460381692996,0.0,0.7190005823248313,288.20039623787875,288.20037528513444,3.0,16.811106812775137,12.326164043420434,3.835623862968873e-06
10/22/18 14:33,17.14346879047686,17.143462904328153,0.0,0.7190005823248313,300.52656028129917,300.52653509641056,3.0,17.530107395099968,12.326164043420434,0.0
10/22/18 14:33,17.14346879047686,17.14346467017276,0.0,0.7190005823248313,312.8527243247196,312.85269617732996,3.0,18.2491079774248,12.326164043420434,0.0
10/22/18 14:33,17.143480966372778,17.143480966372778,0.0,0.7190005823248313,325.17889712261626,325.17886897522664,3.0,18.96810855974963,12.326172797896689,8.754476255035115e-06
10/22/18 14:33,17.143480966372778,17.143480966372778,0.0,0.7190005823248313,337.50506992051294,337.5050417731233,3.0,19.687109142074462,12.326172797896689,0.0
10/22/18 14:33,17.143480966372778,17.143480966372778,0.0,0.7190005823248313,349.8312427184096,349.83121457102,3.0,20.406109724399293,12.326172797896689,0.0
10/22/18 14:33,17.143480966372778,17.143480966372778,0.0,0.7190005823248313,362.1574155163063,362.15738736891666,3.0,21.125110306724125,12.326172797896689,0.0
10/22/18 14:33,17.143480966372778,17.143477350440655,0.0,0.7190005823248313,374.48358831420296,374.48355756695605,3.0,21.844110889048956,12.326172797896689,0.0
10/22/18 14:33,17.143480966372778,17.14347843522029,0.0,0.7190005823248313,386.80976111209964,386.80972854495263,3.0,22.563111471373787,12.326172797896689,0.0
10/22/18 14:33,17.143480966372778,17.143479194566034,0.0,0.7190005823248313,399.1359339099963,399.1359000689192,3.0,23.28211205369862,12.326172797896689,0.0
10/22/18 14:33,17.14349720090067,17.143479726108055,0.0,0.7190005823248313,411.462118380528,411.4620719750649,3.0,24.00111263602345,12.326184470531697,1.1672635007897725e-05
10/22/18 14:33,17.14349720090067,17.143484968545838,0.0,0.7190005823248313,423.7883028510597,423.78824765052633,3.0,24.72011321834828,12.326184470531697,0.0
10/22/18 14:33,17.14349720090067,17.143488638252286,0.0,0.7190005823248313,436.1144873215914,436.1144259645089,3.0,25.439113800673113,12.326184470531697,0.0
10/22/18 14:33,17.14349720090067,17.1434912070468,0.0,0.7190005823248313,448.4406717921231,448.44060612545616,3.0,26.158114382997944,12.326184470531697,0.0
10/22/18 14:33,17.14349720090067,17.14349300520296,0.0,0.7190005823248313,460.7668562626548,460.76678757927874,3.0,26.877114965322775,12.326184470531697,0.0
